DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
2016-04-12,104-07,37.0567,130.0,14.9826,14.9485,14.9348,14.9006,14.3915,13.4568,11.7929,7.1091,3.8483,1.7165,1.3030000000000002,1.0418,0.8348,0.6744,0.676
2016-06-21,104-07,37.0567,130.0,21.4016,20.6761,18.4923,16.8066,15.5521,12.3323,10.6469,10.1536,8.1413,3.0583,1.6031,1.3089,0.8731,0.7265,0.7034
2016-08-10,104-07,37.0567,130.0,27.6794,24.0064,18.5431,16.9208,15.275,12.1469,6.7001,3.4155,2.2874,1.7141,1.2591,0.9949,0.7521,0.6453,0.7479
2016-10-14,104-07,37.0567,130.0,22.2003,22.1676,22.2194,22.5403,18.3727,16.9941,15.9798,15.1677,10.387,2.78,1.5131,1.1215,0.8254,0.6697,0.9103
2016-12-12,104-07,37.0567,130.0,17.8369,17.8387,17.8526,17.8562,17.8523,17.7609,15.9459,8.5955,4.4079,1.9763,1.3883,1.099,0.8375,0.6805,0.8433
2017-02-14,104-07,37.0567,130.0,11.8946,11.9003,11.9083,11.9082,11.9059,11.9179,11.9257,12.0428,9.7272,3.7605,1.9039,1.4564,0.9284,0.7834,0.768
2017-04-10,104-07,37.0567,130.0,12.1604,11.9387,11.832,11.8234,11.4974,11.4875,11.4847,11.5326,10.4756,4.8259,1.9009,1.331,0.9237,0.733,0.6657000000000001
2017-06-20,104-07,37.0567,130.0,20.5706,20.0866,17.55,16.7331,15.6183,12.7335,11.3462,8.412,4.9268,2.2552,1.3603,1.1351,0.8891,0.7328,0.6329
2017-08-18,104-07,37.0567,130.0,25.3871,25.0887,21.29,17.012999999999998,12.1012,6.3082,2.8354,1.9569,1.6038,1.2379,1.0351,0.9049,0.7367,0.6239,0.6306
2017-10-20,104-07,37.0567,130.0,22.4356,22.4387,22.4395,22.4268,21.4441,16.19,13.2024,8.6945,3.5761,1.5524,1.2199,1.0944,0.8331,0.7119,0.862
2017-12-15,104-07,37.0567,130.0,13.3274,13.3393,13.3473,13.3487,13.3324,13.2961,13.2727,12.0127,9.818999999999999,4.0063,1.7242,1.2525,0.9122,0.7364,0.6401
1993-02-09,104-08,37.0567,130.3117,11.84,11.91,11.76,11.81,11.81,11.8,11.7,11.91,11.81,11.81,10.79,7.62,1.74,0.83,0.6157
1993-04-16,104-08,37.0567,130.3117,14.02,13.6,13.54,13.3,13.1,12.8,11.19,9.25,8.23,3.17,1.75,1.46,0.96,0.91,0.6215
1993-06-02,104-08,37.0567,130.3117,18.6,16.12,14.48,10.84,8.19,5.73,4.5,2.83,2.31,1.65,1.27,0.98,0.87,0.68,0.5852
1993-08-17,104-08,37.0567,130.3117,18.89,18.41,15.88,15.78,6.5,4.66,3.06,2.7,2.18,1.67,1.29,1.05,0.77,0.52,0.406
1993-10-27,104-08,37.0567,130.3117,18.3,18.22,18.22,18.21,16.19,13.24,11.77,10.72,10.36,5.72,4.06,1.84,1.11,0.75,0.6614
1993-12-16,104-08,37.0567,130.3117,12.38,11.92,11.89,11.86,11.82,10.39,9.18,7.75,6.63,5.21,4.87,2.71,1.18,0.62,0.4486
1994-02-20,104-08,37.0567,130.3117,11.63,10.9,9.28,8.06,7.16,6.11,4.29,3.3,2.64,1.84,1.43,1.12,0.73,0.6,0.4363
1994-04-20,104-08,37.0567,130.3117,14.9,14.7,14.6,14.45,14.0,12.32,11.54,7.65,3.96,1.89,1.44,1.05,0.75,0.57,0.5203
1994-06-25,104-08,37.0567,130.3117,18.64,18.09,17.84,15.49,14.81,14.58,13.87,10.74,5.41,1.92,1.27,0.95,0.6,0.44,0.5903
1994-08-19,104-08,37.0567,130.3117,25.75,25.48,25.3,12.9,9.96,5.7,3.35,2.7,2.6,2.54,1.9,1.85,1.18,0.72,0.5228
1994-10-14,104-08,37.0567,130.3117,17.74,17.79,17.78,17.52,15.74,7.12,4.53,3.15,2.39,1.63,1.19,0.92,0.63,0.44,0.55
1994-12-21,104-08,37.0567,130.3117,16.19,16.21,16.21,16.22,16.21,16.03,15.66,12.09,5.51,2.55,1.71,1.23,0.7,0.48,0.6985
1995-04-12,104-08,37.0567,130.3117,11.35,11.34,11.35,11.35,11.35,11.27,11.24,11.2,11.18,9.06,3.16,1.52,0.83,0.58,0.5762
1995-06-09,104-08,37.0567,130.3117,17.13,17.09,16.07,15.94,13.63,12.42,11.41,10.73,10.16,6.18,2.0,1.31,0.75,0.49,0.5750000000000001
1995-08-10,104-08,37.0567,130.3117,23.28,22.46,18.8,17.09,15.25,13.19,11.53,10.77,9.9,5.19,2.93,1.67,0.9,0.6,0.5955
1995-10-24,104-08,37.0567,130.3117,18.78,18.77,18.61,14.6,11.3,6.29,3.27,2.25,1.56,1.11,0.81,0.65,0.45,0.36,0.47390000000000004
1995-12-11,104-08,37.0567,130.3117,14.03,14.03,14.0,13.26,11.28,8.93,5.97,3.05,2.06,1.23,0.91,0.76,0.51,0.4,0.5178
1996-02-14,104-08,37.0567,130.3117,10.08,10.08,10.08,10.08,9.95,9.18,8.25,6.9,4.37,1.99,1.31,1.0,0.69,0.43,0.4655
1996-04-07,104-08,37.0567,130.3117,9.72,9.38,9.38,9.32,9.29,9.24,9.16,8.85,7.73,4.02,2.95,1.44,0.77,0.54,0.4772
1996-06-10,104-08,37.0567,130.3117,17.14,17.1,14.7,13.69,12.8,12.31,8.96,5.6,4.24,2.64,1.52,1.18,0.77,0.53,0.5192
1996-08-04,104-08,37.0567,130.3117,24.3,21.95,14.91,12.01,7.95,5.22,3.56,2.28,1.65,1.07,0.8,0.66,0.49,0.39,0.4849
1996-10-11,104-08,37.0567,130.3117,21.19,21.12,20.91,16.68,8.32,4.43,3.29,2.46,2.01,1.29,0.99,0.78,0.59,0.44,0.5860000000000001
